id,audio_file,speaker,region,dialect,language,duration_seconds,transcript,text
audio_00035,audio_00035.wav,Nora,East Africa,British English,English,82.52,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00036,audio_00036.wav,Aisha,Western Europe,Indian English,English,10.9,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00037,audio_00037.wav,Amina,Latin America,Spanish-accented English,English,62.33,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00038,audio_00038.wav,Sofia,Middle East,Standard English,English,109.08,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00039,audio_00039.wav,Amina,Eastern Europe,French-accented English,English,24.23,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00040,audio_00040.wav,Sofia,North America,Standard English,English,82.57,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00041,audio_00041.wav,Aisha,Central Asia,British English,English,81.13,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00042,audio_00042.wav,Hassan,Western Europe,British English,English,107.73,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00043,audio_00043.wav,Amina,Latin America,Arabic-accented English,English,110.69,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00044,audio_00044.wav,Sofia,Oceania,French-accented English,English,107.59,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00045,audio_00045.wav,Aisha,Eastern Europe,African English,English,33.63,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00046,audio_00046.wav,Victor,Eastern Europe,British English,English,56.85,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00047,audio_00047.wav,Aisha,Latin America,British English,English,123.37,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00048,audio_00048.wav,Daniel,East Africa,African English,English,44.76,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00049,audio_00049.wav,Amina,Eastern Europe,French-accented English,English,39.9,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00050,audio_00050.wav,Emil,East Africa,Australian English,English,31.65,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00051,audio_00051.wav,Mateo,Central Asia,Canadian English,English,134.45,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00052,audio_00052.wav,Ibrahim,North America,British English,English,29.39,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00053,audio_00053.wav,Nora,East Africa,Standard English,English,67.61,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00054,audio_00054.wav,Aisha,Eastern Europe,Arabic-accented English,English,21.87,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00055,audio_00055.wav,Nora,North America,Indian English,English,88.3,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00056,audio_00056.wav,Lina,Latin America,British English,English,38.25,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00057,audio_00057.wav,Lina,Oceania,Arabic-accented English,English,122.46,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00058,audio_00058.wav,Zara,South Asia,British English,English,130.26,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00059,audio_00059.wav,Mateo,Central Asia,Arabic-accented English,English,125.87,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00060,audio_00060.wav,Aisha,North America,British English,English,121.61,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00061,audio_00061.wav,Sofia,Central Asia,Indian English,English,104.37,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00062,audio_00062.wav,Ibrahim,Middle East,Arabic-accented English,English,80.74,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00063,audio_00063.wav,Ibrahim,Central Asia,Australian English,English,126.46,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00064,audio_00064.wav,Aisha,East Africa,Standard English,English,41.33,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00065,audio_00065.wav,Amina,South East Asia,French-accented English,English,68.37,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00066,audio_00066.wav,Daniel,East Africa,African English,English,79.77,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00067,audio_00067.wav,Sofia,Oceania,Spanish-accented English,English,105.22,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00068,audio_00068.wav,Lina,South Asia,Indian English,English,93.8,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00069,audio_00069.wav,Victor,Latin America,Indian English,English,79.3,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00070,audio_00070.wav,Aisha,East Africa,French-accented English,English,81.69,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00071,audio_00071.wav,Lina,Eastern Europe,Standard English,English,13.96,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00072,audio_00072.wav,Hassan,Western Europe,British English,English,122.95,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00073,audio_00073.wav,Daniel,Oceania,Spanish-accented English,English,53.36,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00074,audio_00074.wav,Amina,Eastern Europe,Arabic-accented English,English,30.89,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00075,audio_00075.wav,Sofia,Central Asia,Arabic-accented English,English,50.66,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00076,audio_00076.wav,Nora,Middle East,British English,English,82.0,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00077,audio_00077.wav,Emil,South East Asia,Indian English,English,89.46,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00078,audio_00078.wav,Zara,Oceania,Spanish-accented English,English,114.14,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00079,audio_00079.wav,Nora,South East Asia,Arabic-accented English,English,99.62,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00080,audio_00080.wav,Zara,Oceania,Spanish-accented English,English,42.1,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00081,audio_00081.wav,Aisha,Latin America,Indian English,English,64.66,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00082,audio_00082.wav,Mira,Central Asia,Australian English,English,57.32,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00083,audio_00083.wav,Mira,Middle East,African English,English,43.31,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00084,audio_00084.wav,Aisha,East Africa,Standard English,English,42.14,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00085,audio_00085.wav,Nora,Central Asia,Arabic-accented English,English,86.18,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00086,audio_00086.wav,Zara,South East Asia,Indian English,English,58.49,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00087,audio_00087.wav,Mira,Central Asia,French-accented English,English,62.25,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00088,audio_00088.wav,Victor,South Asia,British English,English,17.84,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00089,audio_00089.wav,Emil,South Asia,African English,English,92.14,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00090,audio_00090.wav,Victor,East Africa,African English,English,22.16,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00091,audio_00091.wav,Leo,Eastern Europe,Spanish-accented English,English,51.73,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00092,audio_00092.wav,Leo,North America,Canadian English,English,78.87,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00093,audio_00093.wav,Daniel,South East Asia,Australian English,English,123.62,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00094,audio_00094.wav,Hassan,Latin America,Canadian English,English,26.8,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00095,audio_00095.wav,Daniel,Oceania,British English,English,48.71,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00096,audio_00096.wav,Amina,Western Europe,Canadian English,English,12.07,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00097,audio_00097.wav,Victor,South East Asia,Spanish-accented English,English,67.96,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00098,audio_00098.wav,Mateo,Eastern Europe,British English,English,97.07,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00099,audio_00099.wav,Victor,Central Asia,Arabic-accented English,English,77.66,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00100,audio_00100.wav,Zara,North America,Spanish-accented English,English,113.92,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00101,audio_00101.wav,Mira,South Asia,Canadian English,English,64.52,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00102,audio_00102.wav,Nora,Central Asia,British English,English,114.73,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00103,audio_00103.wav,Victor,East Africa,Spanish-accented English,English,128.32,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00104,audio_00104.wav,Aisha,South East Asia,Arabic-accented English,English,96.91,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00105,audio_00105.wav,Victor,South East Asia,Arabic-accented English,English,47.92,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00106,audio_00106.wav,Aisha,South East Asia,Canadian English,English,49.91,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00107,audio_00107.wav,Victor,Latin America,Australian English,English,22.5,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00108,audio_00108.wav,Victor,East Africa,Indian English,English,115.37,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00109,audio_00109.wav,Priya,Eastern Europe,Australian English,English,96.67,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00110,audio_00110.wav,Nora,North America,Australian English,English,17.4,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00111,audio_00111.wav,Daniel,South East Asia,Standard English,English,113.81,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00112,audio_00112.wav,Aisha,Central Asia,Spanish-accented English,English,61.79,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00113,audio_00113.wav,Leo,South East Asia,Indian English,English,73.61,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00114,audio_00114.wav,Sofia,Middle East,Australian English,English,56.44,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00115,audio_00115.wav,Amina,North America,Standard English,English,110.58,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00116,audio_00116.wav,Sofia,Central Asia,Canadian English,English,14.44,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00117,audio_00117.wav,Zara,South East Asia,Spanish-accented English,English,107.87,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00118,audio_00118.wav,Mateo,Central Asia,Spanish-accented English,English,71.43,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00119,audio_00119.wav,Amina,Middle East,Spanish-accented English,English,28.97,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00120,audio_00120.wav,Emil,Latin America,Australian English,English,117.95,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00121,audio_00121.wav,Ibrahim,Eastern Europe,Australian English,English,80.76,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00122,audio_00122.wav,Priya,Latin America,Australian English,English,32.82,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00123,audio_00123.wav,Aisha,Oceania,Standard English,English,25.05,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00124,audio_00124.wav,Emil,Middle East,Canadian English,English,119.3,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00125,audio_00125.wav,Priya,East Africa,Indian English,English,51.07,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00126,audio_00126.wav,Sofia,North America,British English,English,88.53,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00127,audio_00127.wav,Victor,Oceania,Australian English,English,125.56,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00128,audio_00128.wav,Amina,South East Asia,Indian English,English,23.48,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00129,audio_00129.wav,Mira,Latin America,Indian English,English,62.67,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00130,audio_00130.wav,Zara,Eastern Europe,French-accented English,English,59.26,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00131,audio_00131.wav,Priya,Middle East,British English,English,12.01,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00132,audio_00132.wav,Daniel,East Africa,Canadian English,English,20.18,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00133,audio_00133.wav,Zara,Central Asia,Canadian English,English,134.16,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00134,audio_00134.wav,Amina,Central Asia,Standard English,English,68.54,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00135,audio_00135.wav,Aisha,South East Asia,French-accented English,English,133.94,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00136,audio_00136.wav,Mira,Western Europe,British English,English,81.6,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00137,audio_00137.wav,Zara,Middle East,French-accented English,English,126.27,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00138,audio_00138.wav,Sofia,Eastern Europe,Indian English,English,108.75,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00139,audio_00139.wav,Emil,East Africa,Spanish-accented English,English,27.13,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00140,audio_00140.wav,Daniel,East Africa,Standard English,English,75.39,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00141,audio_00141.wav,Leo,Eastern Europe,Australian English,English,62.91,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00142,audio_00142.wav,Mateo,Oceania,Spanish-accented English,English,66.84,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00143,audio_00143.wav,Hassan,East Africa,Australian English,English,128.42,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00144,audio_00144.wav,Mira,Latin America,Indian English,English,93.48,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00145,audio_00145.wav,Mateo,Western Europe,Arabic-accented English,English,119.65,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00146,audio_00146.wav,Hassan,Latin America,Standard English,English,93.99,Welcome to the museum archive. This recording documents a historical narrative.,Welcome to the museum archive. This recording documents a historical narrative.
audio_00147,audio_00147.wav,Nora,Latin America,Canadian English,English,44.58,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00148,audio_00148.wav,Ibrahim,Middle East,Indian English,English,115.46,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00149,audio_00149.wav,Daniel,South Asia,Indian English,English,28.0,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00150,audio_00150.wav,Mateo,Eastern Europe,Canadian English,English,94.79,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00151,audio_00151.wav,Victor,South Asia,French-accented English,English,122.5,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00152,audio_00152.wav,Nora,Western Europe,African English,English,90.1,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00153,audio_00153.wav,Lina,East Africa,French-accented English,English,12.38,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00154,audio_00154.wav,Emil,Central Asia,Arabic-accented English,English,95.16,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00155,audio_00155.wav,Emil,South Asia,French-accented English,English,98.85,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00156,audio_00156.wav,Lina,Central Asia,Standard English,English,85.25,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00157,audio_00157.wav,Nora,Western Europe,Standard English,English,50.11,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00158,audio_00158.wav,Lina,Western Europe,Standard English,English,85.52,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00159,audio_00159.wav,Priya,Western Europe,Australian English,English,42.25,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00160,audio_00160.wav,Zara,Western Europe,Australian English,English,119.96,The ceremonial procession began at dawn and crossed the central square.,The ceremonial procession began at dawn and crossed the central square.
audio_00161,audio_00161.wav,Amina,North America,British English,English,98.97,The town was founded near a river and grew through trade and migration.,The town was founded near a river and grew through trade and migration.
audio_00162,audio_00162.wav,Nora,Eastern Europe,French-accented English,English,73.54,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00163,audio_00163.wav,Daniel,South East Asia,Australian English,English,43.78,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00164,audio_00164.wav,Sofia,Middle East,Canadian English,English,62.58,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00165,audio_00165.wav,Emil,Central Asia,African English,English,95.59,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00166,audio_00166.wav,Ibrahim,Oceania,African English,English,97.63,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00167,audio_00167.wav,Aisha,South Asia,Standard English,English,38.98,The speaker recalls how the city expanded after the railway was completed.,The speaker recalls how the city expanded after the railway was completed.
audio_00168,audio_00168.wav,Victor,South Asia,Indian English,English,129.98,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00169,audio_00169.wav,Aisha,Latin America,Arabic-accented English,English,110.19,This interview records a family account of a landmark event in the region.,This interview records a family account of a landmark event in the region.
audio_00170,audio_00170.wav,Victor,Oceania,Spanish-accented English,English,120.43,"During the festival, elders shared memories of the old market and its changes.","During the festival, elders shared memories of the old market and its changes."
audio_00171,audio_00171.wav,Priya,Oceania,Standard English,English,134.14,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
audio_00172,audio_00172.wav,Hassan,Eastern Europe,Indian English,English,21.74,"In the archive, every voice helps reconstruct the meaning of a shared history.","In the archive, every voice helps reconstruct the meaning of a shared history."
audio_00173,audio_00173.wav,Emil,Eastern Europe,Indian English,English,56.17,"This speech describes the impact of migration, technology, and local culture.","This speech describes the impact of migration, technology, and local culture."
