id,image_id,title,year,era,location,artifact_type,subject,caption,text
hist_00010,img_00010,Mughal court Portrait - 1552,1552,Ancient Era,Mughal court,portrait,harbor activity,"A portrait from Mughal court depicting harbor activity during the ancient era around 1552. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Mughal court Portrait - 1552. This object was discovered in Mughal court and relates to harbor activity. It dates to approximately 1552, representing a period of cultural, trade, or political activity."
hist_00011,img_00011,Cairo Ceramic - 1947,1947,Industrial Age,Cairo,ceramic,farming community,"A ceramic from Cairo depicting farming community during the industrial age around 1947. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Ceramic - 1947. This object was discovered in Cairo and relates to farming community. It dates to approximately 1947, representing a period of cultural, trade, or political activity."
hist_00012,img_00012,Venice Document - 1280,1280,Modern Century,Venice,document,harbor activity,"A document from Venice depicting harbor activity during the modern century around 1280. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Venice Document - 1280. This object was discovered in Venice and relates to harbor activity. It dates to approximately 1280, representing a period of cultural, trade, or political activity."
hist_00013,img_00013,Paris Statue - 1833,1833,Modern Century,Paris,statue,scientific expedition,"A statue from Paris depicting scientific expedition during the modern century around 1833. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Statue - 1833. This object was discovered in Paris and relates to scientific expedition. It dates to approximately 1833, representing a period of cultural, trade, or political activity."
hist_00014,img_00014,Paris Painting - 1271,1271,Early Modern Era,Paris,painting,civil ceremony,"A painting from Paris depicting civil ceremony during the early modern era around 1271. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Painting - 1271. This object was discovered in Paris and relates to civil ceremony. It dates to approximately 1271, representing a period of cultural, trade, or political activity."
hist_00015,img_00015,Delhi Manuscript - 1281,1281,Early Modern Era,Delhi,manuscript,royal ceremony,"A manuscript from Delhi depicting royal ceremony during the early modern era around 1281. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Delhi Manuscript - 1281. This object was discovered in Delhi and relates to royal ceremony. It dates to approximately 1281, representing a period of cultural, trade, or political activity."
hist_00016,img_00016,Baghdad Artifact - 1664,1664,Early Modern Era,Baghdad,artifact,city planning,"A artifact from Baghdad depicting city planning during the early modern era around 1664. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Baghdad Artifact - 1664. This object was discovered in Baghdad and relates to city planning. It dates to approximately 1664, representing a period of cultural, trade, or political activity."
hist_00017,img_00017,London Manuscript - 1563,1563,Modern Century,London,manuscript,civil ceremony,"A manuscript from London depicting civil ceremony during the modern century around 1563. The image captures daily life, movement, and cultural continuity in the region.","Historical record: London Manuscript - 1563. This object was discovered in London and relates to civil ceremony. It dates to approximately 1563, representing a period of cultural, trade, or political activity."
hist_00018,img_00018,Beijing Artifact - 1899,1899,Modern Century,Beijing,artifact,royal ceremony,"A artifact from Beijing depicting royal ceremony during the modern century around 1899. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Beijing Artifact - 1899. This object was discovered in Beijing and relates to royal ceremony. It dates to approximately 1899, representing a period of cultural, trade, or political activity."
hist_00019,img_00019,Paris Document - 1375,1375,Medieval Period,Paris,document,cultural festival,"A document from Paris depicting cultural festival during the medieval period around 1375. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Document - 1375. This object was discovered in Paris and relates to cultural festival. It dates to approximately 1375, representing a period of cultural, trade, or political activity."
hist_00020,img_00020,Nanjing Letter - 1673,1673,Modern Century,Nanjing,letter,harbor activity,"A letter from Nanjing depicting harbor activity during the modern century around 1673. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Nanjing Letter - 1673. This object was discovered in Nanjing and relates to harbor activity. It dates to approximately 1673, representing a period of cultural, trade, or political activity."
hist_00021,img_00021,Alexandria Document - 1904,1904,Early Modern Era,Alexandria,document,battlefield,"A document from Alexandria depicting battlefield during the early modern era around 1904. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Alexandria Document - 1904. This object was discovered in Alexandria and relates to battlefield. It dates to approximately 1904, representing a period of cultural, trade, or political activity."
hist_00022,img_00022,Venice Painting - 1986,1986,Ancient Era,Venice,painting,battlefield,"A painting from Venice depicting battlefield during the ancient era around 1986. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Venice Painting - 1986. This object was discovered in Venice and relates to battlefield. It dates to approximately 1986, representing a period of cultural, trade, or political activity."
hist_00023,img_00023,Cairo Letter - 1523,1523,Medieval Period,Cairo,letter,harbor activity,"A letter from Cairo depicting harbor activity during the medieval period around 1523. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Letter - 1523. This object was discovered in Cairo and relates to harbor activity. It dates to approximately 1523, representing a period of cultural, trade, or political activity."
hist_00024,img_00024,Paris Engraving - 1780,1780,Modern Century,Paris,engraving,city planning,"A engraving from Paris depicting city planning during the modern century around 1780. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Engraving - 1780. This object was discovered in Paris and relates to city planning. It dates to approximately 1780, representing a period of cultural, trade, or political activity."
hist_00025,img_00025,Kyiv Letter - 1711,1711,Medieval Period,Kyiv,letter,civil ceremony,"A letter from Kyiv depicting civil ceremony during the medieval period around 1711. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Letter - 1711. This object was discovered in Kyiv and relates to civil ceremony. It dates to approximately 1711, representing a period of cultural, trade, or political activity."
hist_00026,img_00026,Constantinople Map - 1471,1471,Colonial Period,Constantinople,map,battlefield,"A map from Constantinople depicting battlefield during the colonial period around 1471. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Constantinople Map - 1471. This object was discovered in Constantinople and relates to battlefield. It dates to approximately 1471, representing a period of cultural, trade, or political activity."
hist_00027,img_00027,Beijing Coin - 1751,1751,Industrial Age,Beijing,coin,cultural festival,"A coin from Beijing depicting cultural festival during the industrial age around 1751. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Beijing Coin - 1751. This object was discovered in Beijing and relates to cultural festival. It dates to approximately 1751, representing a period of cultural, trade, or political activity."
hist_00028,img_00028,Paris Letter - 1797,1797,Medieval Period,Paris,letter,city planning,"A letter from Paris depicting city planning during the medieval period around 1797. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Letter - 1797. This object was discovered in Paris and relates to city planning. It dates to approximately 1797, representing a period of cultural, trade, or political activity."
hist_00029,img_00029,Mughal court Ceramic - 1721,1721,Ancient Era,Mughal court,ceramic,royal ceremony,"A ceramic from Mughal court depicting royal ceremony during the ancient era around 1721. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Mughal court Ceramic - 1721. This object was discovered in Mughal court and relates to royal ceremony. It dates to approximately 1721, representing a period of cultural, trade, or political activity."
hist_00030,img_00030,Baghdad Map - 1312,1312,Modern Century,Baghdad,map,civil ceremony,"A map from Baghdad depicting civil ceremony during the modern century around 1312. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Baghdad Map - 1312. This object was discovered in Baghdad and relates to civil ceremony. It dates to approximately 1312, representing a period of cultural, trade, or political activity."
hist_00031,img_00031,Delhi Portrait - 1632,1632,Industrial Age,Delhi,portrait,royal ceremony,"A portrait from Delhi depicting royal ceremony during the industrial age around 1632. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Delhi Portrait - 1632. This object was discovered in Delhi and relates to royal ceremony. It dates to approximately 1632, representing a period of cultural, trade, or political activity."
hist_00032,img_00032,London Ceramic - 1810,1810,Colonial Period,London,ceramic,farming community,"A ceramic from London depicting farming community during the colonial period around 1810. The image captures daily life, movement, and cultural continuity in the region.","Historical record: London Ceramic - 1810. This object was discovered in London and relates to farming community. It dates to approximately 1810, representing a period of cultural, trade, or political activity."
hist_00033,img_00033,Cairo Artifact - 1211,1211,Modern Century,Cairo,artifact,cultural festival,"A artifact from Cairo depicting cultural festival during the modern century around 1211. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Artifact - 1211. This object was discovered in Cairo and relates to cultural festival. It dates to approximately 1211, representing a period of cultural, trade, or political activity."
hist_00034,img_00034,Moscow Coin - 1749,1749,Ancient Era,Moscow,coin,civil ceremony,"A coin from Moscow depicting civil ceremony during the ancient era around 1749. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Moscow Coin - 1749. This object was discovered in Moscow and relates to civil ceremony. It dates to approximately 1749, representing a period of cultural, trade, or political activity."
hist_00035,img_00035,Kyiv Letter - 1500,1500,Ancient Era,Kyiv,letter,market scene,"A letter from Kyiv depicting market scene during the ancient era around 1500. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Letter - 1500. This object was discovered in Kyiv and relates to market scene. It dates to approximately 1500, representing a period of cultural, trade, or political activity."
hist_00036,img_00036,Cuzco Engraving - 1939,1939,Medieval Period,Cuzco,engraving,harbor activity,"A engraving from Cuzco depicting harbor activity during the medieval period around 1939. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cuzco Engraving - 1939. This object was discovered in Cuzco and relates to harbor activity. It dates to approximately 1939, representing a period of cultural, trade, or political activity."
hist_00037,img_00037,London Photograph - 1719,1719,Modern Century,London,photograph,civil ceremony,"A photograph from London depicting civil ceremony during the modern century around 1719. The image captures daily life, movement, and cultural continuity in the region.","Historical record: London Photograph - 1719. This object was discovered in London and relates to civil ceremony. It dates to approximately 1719, representing a period of cultural, trade, or political activity."
hist_00038,img_00038,Baghdad Portrait - 1719,1719,Early Modern Era,Baghdad,portrait,battlefield,"A portrait from Baghdad depicting battlefield during the early modern era around 1719. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Baghdad Portrait - 1719. This object was discovered in Baghdad and relates to battlefield. It dates to approximately 1719, representing a period of cultural, trade, or political activity."
hist_00039,img_00039,Mughal court Map - 1980,1980,Colonial Period,Mughal court,map,farming community,"A map from Mughal court depicting farming community during the colonial period around 1980. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Mughal court Map - 1980. This object was discovered in Mughal court and relates to farming community. It dates to approximately 1980, representing a period of cultural, trade, or political activity."
hist_00040,img_00040,Kyiv Portrait - 1200,1200,Ancient Era,Kyiv,portrait,city planning,"A portrait from Kyiv depicting city planning during the ancient era around 1200. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Portrait - 1200. This object was discovered in Kyiv and relates to city planning. It dates to approximately 1200, representing a period of cultural, trade, or political activity."
hist_00041,img_00041,Paris Statue - 1314,1314,Ancient Era,Paris,statue,harbor activity,"A statue from Paris depicting harbor activity during the ancient era around 1314. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Statue - 1314. This object was discovered in Paris and relates to harbor activity. It dates to approximately 1314, representing a period of cultural, trade, or political activity."
hist_00042,img_00042,Cairo Portrait - 1446,1446,Modern Century,Cairo,portrait,royal ceremony,"A portrait from Cairo depicting royal ceremony during the modern century around 1446. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Portrait - 1446. This object was discovered in Cairo and relates to royal ceremony. It dates to approximately 1446, representing a period of cultural, trade, or political activity."
hist_00043,img_00043,Mughal court Photograph - 1697,1697,Medieval Period,Mughal court,photograph,farming community,"A photograph from Mughal court depicting farming community during the medieval period around 1697. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Mughal court Photograph - 1697. This object was discovered in Mughal court and relates to farming community. It dates to approximately 1697, representing a period of cultural, trade, or political activity."
hist_00044,img_00044,Cuzco Artifact - 1331,1331,Medieval Period,Cuzco,artifact,colonial exchange,"A artifact from Cuzco depicting colonial exchange during the medieval period around 1331. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cuzco Artifact - 1331. This object was discovered in Cuzco and relates to colonial exchange. It dates to approximately 1331, representing a period of cultural, trade, or political activity."
hist_00045,img_00045,Delhi Document - 1471,1471,Medieval Period,Delhi,document,scientific expedition,"A document from Delhi depicting scientific expedition during the medieval period around 1471. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Delhi Document - 1471. This object was discovered in Delhi and relates to scientific expedition. It dates to approximately 1471, representing a period of cultural, trade, or political activity."
hist_00046,img_00046,Paris Engraving - 1752,1752,Modern Century,Paris,engraving,cultural festival,"A engraving from Paris depicting cultural festival during the modern century around 1752. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Engraving - 1752. This object was discovered in Paris and relates to cultural festival. It dates to approximately 1752, representing a period of cultural, trade, or political activity."
hist_00047,img_00047,Alexandria Letter - 1519,1519,Early Modern Era,Alexandria,letter,civil ceremony,"A letter from Alexandria depicting civil ceremony during the early modern era around 1519. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Alexandria Letter - 1519. This object was discovered in Alexandria and relates to civil ceremony. It dates to approximately 1519, representing a period of cultural, trade, or political activity."
hist_00048,img_00048,Cairo Document - 1648,1648,Medieval Period,Cairo,document,colonial exchange,"A document from Cairo depicting colonial exchange during the medieval period around 1648. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Document - 1648. This object was discovered in Cairo and relates to colonial exchange. It dates to approximately 1648, representing a period of cultural, trade, or political activity."
hist_00049,img_00049,Rome Photograph - 1430,1430,Colonial Period,Rome,photograph,city planning,"A photograph from Rome depicting city planning during the colonial period around 1430. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Rome Photograph - 1430. This object was discovered in Rome and relates to city planning. It dates to approximately 1430, representing a period of cultural, trade, or political activity."
hist_00050,img_00050,Paris Manuscript - 1767,1767,Ancient Era,Paris,manuscript,scientific expedition,"A manuscript from Paris depicting scientific expedition during the ancient era around 1767. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Manuscript - 1767. This object was discovered in Paris and relates to scientific expedition. It dates to approximately 1767, representing a period of cultural, trade, or political activity."
hist_00051,img_00051,Rome Engraving - 1272,1272,Medieval Period,Rome,engraving,civil ceremony,"A engraving from Rome depicting civil ceremony during the medieval period around 1272. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Rome Engraving - 1272. This object was discovered in Rome and relates to civil ceremony. It dates to approximately 1272, representing a period of cultural, trade, or political activity."
hist_00052,img_00052,Cairo Painting - 1269,1269,Colonial Period,Cairo,painting,city planning,"A painting from Cairo depicting city planning during the colonial period around 1269. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Painting - 1269. This object was discovered in Cairo and relates to city planning. It dates to approximately 1269, representing a period of cultural, trade, or political activity."
hist_00053,img_00053,Kyiv Coin - 1443,1443,Medieval Period,Kyiv,coin,civil ceremony,"A coin from Kyiv depicting civil ceremony during the medieval period around 1443. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Coin - 1443. This object was discovered in Kyiv and relates to civil ceremony. It dates to approximately 1443, representing a period of cultural, trade, or political activity."
hist_00054,img_00054,Nanjing Map - 1752,1752,Colonial Period,Nanjing,map,cultural festival,"A map from Nanjing depicting cultural festival during the colonial period around 1752. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Nanjing Map - 1752. This object was discovered in Nanjing and relates to cultural festival. It dates to approximately 1752, representing a period of cultural, trade, or political activity."
hist_00055,img_00055,Mughal court Ceramic - 1790,1790,Industrial Age,Mughal court,ceramic,battlefield,"A ceramic from Mughal court depicting battlefield during the industrial age around 1790. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Mughal court Ceramic - 1790. This object was discovered in Mughal court and relates to battlefield. It dates to approximately 1790, representing a period of cultural, trade, or political activity."
hist_00056,img_00056,Cairo Manuscript - 1616,1616,Modern Century,Cairo,manuscript,royal ceremony,"A manuscript from Cairo depicting royal ceremony during the modern century around 1616. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Manuscript - 1616. This object was discovered in Cairo and relates to royal ceremony. It dates to approximately 1616, representing a period of cultural, trade, or political activity."
hist_00057,img_00057,Delhi Statue - 1641,1641,Industrial Age,Delhi,statue,religious procession,"A statue from Delhi depicting religious procession during the industrial age around 1641. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Delhi Statue - 1641. This object was discovered in Delhi and relates to religious procession. It dates to approximately 1641, representing a period of cultural, trade, or political activity."
hist_00058,img_00058,Alexandria Painting - 1946,1946,Modern Century,Alexandria,painting,civil ceremony,"A painting from Alexandria depicting civil ceremony during the modern century around 1946. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Alexandria Painting - 1946. This object was discovered in Alexandria and relates to civil ceremony. It dates to approximately 1946, representing a period of cultural, trade, or political activity."
hist_00059,img_00059,Constantinople Painting - 1300,1300,Early Modern Era,Constantinople,painting,religious procession,"A painting from Constantinople depicting religious procession during the early modern era around 1300. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Constantinople Painting - 1300. This object was discovered in Constantinople and relates to religious procession. It dates to approximately 1300, representing a period of cultural, trade, or political activity."
hist_00060,img_00060,Paris Manuscript - 1311,1311,Colonial Period,Paris,manuscript,battlefield,"A manuscript from Paris depicting battlefield during the colonial period around 1311. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Manuscript - 1311. This object was discovered in Paris and relates to battlefield. It dates to approximately 1311, representing a period of cultural, trade, or political activity."
hist_00061,img_00061,Baghdad Map - 1659,1659,Early Modern Era,Baghdad,map,religious procession,"A map from Baghdad depicting religious procession during the early modern era around 1659. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Baghdad Map - 1659. This object was discovered in Baghdad and relates to religious procession. It dates to approximately 1659, representing a period of cultural, trade, or political activity."
hist_00062,img_00062,Kyiv Manuscript - 1673,1673,Colonial Period,Kyiv,manuscript,royal ceremony,"A manuscript from Kyiv depicting royal ceremony during the colonial period around 1673. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Manuscript - 1673. This object was discovered in Kyiv and relates to royal ceremony. It dates to approximately 1673, representing a period of cultural, trade, or political activity."
hist_00063,img_00063,Cuzco Painting - 1300,1300,Ancient Era,Cuzco,painting,civil ceremony,"A painting from Cuzco depicting civil ceremony during the ancient era around 1300. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cuzco Painting - 1300. This object was discovered in Cuzco and relates to civil ceremony. It dates to approximately 1300, representing a period of cultural, trade, or political activity."
hist_00064,img_00064,Delhi Manuscript - 1295,1295,Industrial Age,Delhi,manuscript,market scene,"A manuscript from Delhi depicting market scene during the industrial age around 1295. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Delhi Manuscript - 1295. This object was discovered in Delhi and relates to market scene. It dates to approximately 1295, representing a period of cultural, trade, or political activity."
hist_00065,img_00065,Nanjing Manuscript - 1692,1692,Ancient Era,Nanjing,manuscript,religious procession,"A manuscript from Nanjing depicting religious procession during the ancient era around 1692. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Nanjing Manuscript - 1692. This object was discovered in Nanjing and relates to religious procession. It dates to approximately 1692, representing a period of cultural, trade, or political activity."
hist_00066,img_00066,Delhi Letter - 1368,1368,Early Modern Era,Delhi,letter,trade route,"A letter from Delhi depicting trade route during the early modern era around 1368. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Delhi Letter - 1368. This object was discovered in Delhi and relates to trade route. It dates to approximately 1368, representing a period of cultural, trade, or political activity."
hist_00067,img_00067,Constantinople Coin - 1665,1665,Modern Century,Constantinople,coin,religious procession,"A coin from Constantinople depicting religious procession during the modern century around 1665. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Constantinople Coin - 1665. This object was discovered in Constantinople and relates to religious procession. It dates to approximately 1665, representing a period of cultural, trade, or political activity."
hist_00068,img_00068,Kyiv Artifact - 1769,1769,Medieval Period,Kyiv,artifact,cultural festival,"A artifact from Kyiv depicting cultural festival during the medieval period around 1769. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Artifact - 1769. This object was discovered in Kyiv and relates to cultural festival. It dates to approximately 1769, representing a period of cultural, trade, or political activity."
hist_00069,img_00069,Rome Coin - 1394,1394,Colonial Period,Rome,coin,battlefield,"A coin from Rome depicting battlefield during the colonial period around 1394. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Rome Coin - 1394. This object was discovered in Rome and relates to battlefield. It dates to approximately 1394, representing a period of cultural, trade, or political activity."
hist_00070,img_00070,Constantinople Document - 1953,1953,Early Modern Era,Constantinople,document,trade route,"A document from Constantinople depicting trade route during the early modern era around 1953. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Constantinople Document - 1953. This object was discovered in Constantinople and relates to trade route. It dates to approximately 1953, representing a period of cultural, trade, or political activity."
hist_00071,img_00071,Kyiv Painting - 1258,1258,Colonial Period,Kyiv,painting,scientific expedition,"A painting from Kyiv depicting scientific expedition during the colonial period around 1258. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Painting - 1258. This object was discovered in Kyiv and relates to scientific expedition. It dates to approximately 1258, representing a period of cultural, trade, or political activity."
hist_00072,img_00072,Cuzco Map - 1743,1743,Ancient Era,Cuzco,map,trade route,"A map from Cuzco depicting trade route during the ancient era around 1743. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cuzco Map - 1743. This object was discovered in Cuzco and relates to trade route. It dates to approximately 1743, representing a period of cultural, trade, or political activity."
hist_00073,img_00073,Cairo Photograph - 1390,1390,Modern Century,Cairo,photograph,scientific expedition,"A photograph from Cairo depicting scientific expedition during the modern century around 1390. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cairo Photograph - 1390. This object was discovered in Cairo and relates to scientific expedition. It dates to approximately 1390, representing a period of cultural, trade, or political activity."
hist_00074,img_00074,Nanjing Letter - 1440,1440,Colonial Period,Nanjing,letter,royal ceremony,"A letter from Nanjing depicting royal ceremony during the colonial period around 1440. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Nanjing Letter - 1440. This object was discovered in Nanjing and relates to royal ceremony. It dates to approximately 1440, representing a period of cultural, trade, or political activity."
hist_00075,img_00075,Rome Portrait - 1452,1452,Colonial Period,Rome,portrait,scientific expedition,"A portrait from Rome depicting scientific expedition during the colonial period around 1452. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Rome Portrait - 1452. This object was discovered in Rome and relates to scientific expedition. It dates to approximately 1452, representing a period of cultural, trade, or political activity."
hist_00076,img_00076,Beijing Letter - 1283,1283,Colonial Period,Beijing,letter,civil ceremony,"A letter from Beijing depicting civil ceremony during the colonial period around 1283. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Beijing Letter - 1283. This object was discovered in Beijing and relates to civil ceremony. It dates to approximately 1283, representing a period of cultural, trade, or political activity."
hist_00077,img_00077,Paris Statue - 1735,1735,Modern Century,Paris,statue,harbor activity,"A statue from Paris depicting harbor activity during the modern century around 1735. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Paris Statue - 1735. This object was discovered in Paris and relates to harbor activity. It dates to approximately 1735, representing a period of cultural, trade, or political activity."
hist_00078,img_00078,London Statue - 1933,1933,Industrial Age,London,statue,battlefield,"A statue from London depicting battlefield during the industrial age around 1933. The image captures daily life, movement, and cultural continuity in the region.","Historical record: London Statue - 1933. This object was discovered in London and relates to battlefield. It dates to approximately 1933, representing a period of cultural, trade, or political activity."
hist_00079,img_00079,London Artifact - 1334,1334,Industrial Age,London,artifact,civil ceremony,"A artifact from London depicting civil ceremony during the industrial age around 1334. The image captures daily life, movement, and cultural continuity in the region.","Historical record: London Artifact - 1334. This object was discovered in London and relates to civil ceremony. It dates to approximately 1334, representing a period of cultural, trade, or political activity."
hist_00080,img_00080,Kyiv Photograph - 1523,1523,Colonial Period,Kyiv,photograph,trade route,"A photograph from Kyiv depicting trade route during the colonial period around 1523. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Kyiv Photograph - 1523. This object was discovered in Kyiv and relates to trade route. It dates to approximately 1523, representing a period of cultural, trade, or political activity."
hist_00081,img_00081,Cuzco Photograph - 1776,1776,Medieval Period,Cuzco,photograph,royal ceremony,"A photograph from Cuzco depicting royal ceremony during the medieval period around 1776. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Cuzco Photograph - 1776. This object was discovered in Cuzco and relates to royal ceremony. It dates to approximately 1776, representing a period of cultural, trade, or political activity."
hist_00082,img_00082,Nanjing Coin - 1718,1718,Early Modern Era,Nanjing,coin,market scene,"A coin from Nanjing depicting market scene during the early modern era around 1718. The image captures daily life, movement, and cultural continuity in the region.","Historical record: Nanjing Coin - 1718. This object was discovered in Nanjing and relates to market scene. It dates to approximately 1718, representing a period of cultural, trade, or political activity."
